year,spr_E,fal_E,spr_C,fal_C,spr_W,fal_W,spr_A,fal_A
1995,0.434217565058681,0.372151420749439,0.496720306104841,0.365219246203755,0.397071317906847,0.351860710299372,0.437246569627849,0.361933975397173
1996,0.490078353629561,0.391978979829473,0.500233311557858,0.336801898489602,0.344911456511175,0.368974437693508,0.434249480012539,0.366718143519169
1997,0.417895465559021,0.399049686900207,0.451944485181471,0.369915474555847,0.377760959948928,0.340920395345862,0.411490481278244,0.367097717067519
1998,0.456298184335594,0.400928285974955,0.485774661031481,0.376114895943097,0.416650602466981,0.35967862081118,0.448768649921902,0.377058150860225
1999,0.44065892570601,0.397076685861749,0.528464010025993,0.391756769368198,0.419401745405207,0.336560452558245,0.457433331374445,0.371041813783484
2000,0.500808710154588,0.411073350325636,0.540119588838274,0.297888863705916,0.380723912334711,0.328785379912422,0.463560457684818,0.345047769427051
2001,0.477730576795726,0.344173825482191,0.523897769541577,0.319306864692745,0.375790418121296,0.344735345285297,0.449809105333835,0.337213525534781
2002,0.499955945750389,0.377374996066634,0.525494287199948,0.386990547548638,0.353938346791609,0.403627891258456,0.448229154523999,0.390781565057155
2003,0.456836275527815,0.354098618584663,0.503136373938448,0.376351540522953,0.382430287323205,0.365775877045696,0.440099151547297,0.365257652404829
2004,0.530749866263806,0.394848799521646,0.549452051141795,0.360809657765224,0.354204893512145,0.394077427062676,0.464689544483277,0.384697791055163
2005,0.456458667673814,0.402278234054002,0.491417467702806,0.335845321103417,0.363207984978126,0.364723969451876,0.428815027259222,0.367874205087302
2006,0.408965039806201,0.372327637748149,0.510335702001222,0.378418014318593,0.448595750959395,0.409546656385606,0.454308111602212,0.389154408399968
2007,0.446540168035543,0.341977406463401,0.559487781140644,0.335425360300013,0.37984097632253,0.346622591262479,0.452186738625277,0.341963975194535
2008,0.506337518486882,0.41851851851845,0.518074979668688,0.377148132840982,0.300862231043715,0.408016392623323,0.426553000123896,0.402309425658923
2009,0.488306743446901,0.38219578967237,0.510838988361078,0.380204514245221,0.35354804623635,0.415755767047645,0.440268707244079,0.395205427323702
2010,0.443321061078055,0.371817867145131,0.528643993227142,0.368718919567546,0.385919193505732,0.382889604439973,0.444746519050891,0.375404019433892
2011,0.463236728657211,0.358957172975753,0.533966829762437,0.382697614889235,0.370564198491377,0.416512569343818,0.446166548009818,0.389117799783679
2012,0.480219641901817,0.362918908713345,0.570040129587833,0.406858693188571,0.387846897467796,0.443181520696567,0.468788746126037,0.408109964576497
2013,0.449601938386583,0.3605336857674,0.491610782993313,0.337971789299688,0.299622312816442,0.379441156241715,0.401031977625509,0.361666154467073
2014,0.492158343560315,0.390100380754548,0.501979815217408,0.36709907075324,0.308337438628838,0.38721622888746,0.420585795664295,0.382284512532066
2015,0.496818653827925,0.372654897888607,0.528943965230084,0.330362499500116,0.382235137045506,0.38141407795072,0.459720406509513,0.363976350833736
2016,0.450697001164237,0.368419396456972,0.504769554841445,0.32636287279858,0.35904319246813,0.361632503468541,0.429224465730765,0.353515920412786
2017,0.474391894017745,0.356282450674971,0.510082392310063,0.376068233631564,0.372801287040015,0.396566783042616,0.443583713790065,0.378308624122595
2018,0.410192265332902,0.317886025362693,0.512228858640217,0.359116482461819,0.392994581009993,0.438109993360172,0.432723478742594,0.378470472742181
2019,0.480210201705437,0.349463482173788,0.477825402962316,0.330105856786652,0.359721458676803,0.412350156715125,0.430746613462026,0.369325062355317
2020,0.448827842285721,0.348387299789172,0.48651125894911,0.386750569946639,0.384774470535736,0.43216980930011,0.433790908924203,0.3933913740462
2021,0.483721954750075,0.321583435602188,0.516055168184287,0.320596744303802,0.334447117844644,0.38342745764424,0.432640627664233,0.346332924537231
2022,0.512344630101734,0.385304761005712,0.513758715853065,0.362689482315114,0.312002456037673,0.404394213080374,0.431654121793452,0.386495466793706
2023,0.398429780672735,0.429072658044519,0.484814750623108,0.363209433786107,0.413361606324727,0.367251403535021,0.429443154044332,0.38500992767867
2024,0.486516252871466,0.417055288083373,0.498853440345579,0.350543949231451,0.32858071010884,0.357274940562453,0.42614934196025,0.373631391695729
